Country,GDI Value,GDI Group,Female HDI,Male HDI,Female life expectancy at birth,Male life expectancy at birth,Female mean years of schooling,Male mean years of schooling,HDI Rank
Ethiopia,0.837089382,5,0.44151371,0.527439148,68.536,64.694,1.697824476,4.321076749,173
Malawi,0.986380167,1,0.492795188,0.499599652,67.413,61.101,6.882,5.24,174
Congo (Democratic Republic of the),0.845242428,5,0.439151589,0.519556962,62.233,59.147,5.27478,8.37484,175
Liberia,0.889581087,5,0.453218324,0.509473875,65.497,62.715,3.458,6.164,175
Yemen,0.488238736,5,0.269893735,0.552790501,67.826,64.443,2.88,5.146,179
Mozambique,0.912091035,4,0.434585189,0.476471287,63.671,57.782,2.70461455,4.495430225,181
Burkina Faso,0.866707793,5,0.41789466,0.482163266,62.294,60.739,1.07,2.256279557,182
Sierra Leone,0.883789879,5,0.423274634,0.478931298,55.495,53.853,2.93,4.478,182
Mali,0.820800677,5,0.387960997,0.472661644,60.085,58.529,1.7135,2.9924,184
Burundi,0.999287946,1,0.432140085,0.432448012,63.377,59.764,2.60793306,4.051710297,185
Chad,0.764090676,5,0.341967626,0.447548487,55.669,52.835,1.266126918,3.846580001,187
Central African Republic,0.801420006,5,0.351229301,0.438258714,55.514,51.081,3.024,5.582,188
Niger,0.723746325,5,0.320846369,0.443313296,63.621,61.281,1.39995223,2.813112943,189
