RANK,Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
89,North Macedonia,5.199,1.505,0.863,0.637,0.488,0.215,0.031
90,Albania,5.199,1.439,0.646,0.719,0.511,0.138,0.028
91,South Africa,5.194,1.425,1.088,0.361,0.442,0.089,0.046
92,Azerbaijan,5.173,1.458,1.093,0.560,0.601,0.023,0.341
93,Gambia,5.164,0.785,0.621,0.369,0.367,0.388,0.103
94,Bangladesh,5.155,1.060,0.614,0.581,0.622,0.125,0.187
95,Laos,5.140,1.239,0.654,0.479,0.679,0.197,0.184
96,Algeria,5.122,1.363,0.970,0.643,0.146,0.106,0.150
97,Liberia,5.122,0.636,0.670,0.309,0.405,0.178,0.080
98,Ukraine,5.084,1.411,1.081,0.583,0.473,0.188,0.017
99,Congo,5.075,0.950,0.405,0.355,0.431,0.130,0.146
100,Morocco,5.060,1.208,0.268,0.565,0.492,0.020,0.102
101,Mozambique,5.048,0.578,0.660,0.191,0.593,0.185,0.200
102,Cameroon,5.048,0.968,0.672,0.317,0.397,0.152,0.074
103,Senegal,5.046,0.933,0.530,0.447,0.494,0.143,0.081
104,Niger,5.003,0.570,0.560,0.326,0.571,0.165,0.145
105,Georgia,4.973,1.467,0.612,0.595,0.508,0.000,0.208
106,Gabon,4.958,1.459,0.738,0.396,0.343,0.032,0.099
107,Iraq,4.941,1.289,0.682,0.554,0.328,0.147,0.046
108,Venezuela,4.925,0.000,0.968,0.578,0.283,0.225,0.082
109,Guinea,4.891,0.848,0.566,0.275,0.334,0.214,0.116
110,Iran,4.888,1.410,0.741,0.642,0.281,0.241,0.146
111,Ghana,4.872,1.112,0.595,0.409,0.500,0.230,0.056
112,Turkey,4.744,1.707,0.865,0.702,0.209,0.087,0.115
113,Burkina Faso,4.670,0.779,0.565,0.320,0.382,0.186,0.126
114,Cambodia,4.640,1.019,0.732,0.505,0.740,0.166,0.068
115,Benin,4.623,0.932,0.064,0.335,0.479,0.127,0.230
116,Comoros,4.609,0.899,0.476,0.424,0.185,0.195,0.125
117,Uganda,4.603,0.777,0.875,0.418,0.402,0.222,0.066
118,Nigeria,4.552,1.079,0.732,0.300,0.444,0.175,0.038
119,Kenya,4.543,1.032,0.605,0.401,0.440,0.322,0.082
120,Tunisia,4.516,1.350,0.596,0.656,0.316,0.029,0.029
121,Pakistan,4.516,1.049,0.413,0.374,0.448,0.181,0.112
122,Palestinian Territories,4.483,1.148,0.957,0.521,0.336,0.073,0.079
123,Mali,4.479,0.792,0.483,0.311,0.350,0.128,0.042
124,Namibia,4.459,1.292,0.877,0.354,0.384,0.067,0.071
125,Eswatini. Kingdom of,4.396,1.274,0.786,0.197,0.259,0.038,0.154
126,Myanmar,4.394,1.038,0.829,0.491,0.513,0.452,0.194
127,Sri Lanka,4.362,1.415,0.934,0.660,0.529,0.150,0.079
128,Madagascar,4.339,0.670,0.645,0.378,0.202,0.143,0.154
129,Egypt,4.288,1.388,0.732,0.548,0.469,0.041,0.254
130,Chad,4.251,0.662,0.506,0.225,0.180,0.182,0.077
131,Ethiopia,4.241,0.788,0.809,0.457,0.472,0.205,0.136
132,Yemen,4.197,0.691,1.043,0.384,0.330,0.090,0.098
133,Mauritania,4.153,1.100,0.865,0.450,0.304,0.088,0.138
134,Jordan,4.152,1.324,0.724,0.675,0.476,0.058,0.200
135,Togo,4.112,0.771,0.322,0.360,0.292,0.174,0.132
136,India,3.777,1.167,0.376,0.471,0.647,0.198,0.123
137,Zambia,3.760,0.930,0.577,0.306,0.525,0.203,0.083
138,Malawi,3.750,0.648,0.279,0.388,0.477,0.140,0.157
139,Tanzania,3.702,0.848,0.597,0.425,0.578,0.248,0.270
140,Sierra Leone,3.574,0.686,0.416,0.273,0.387,0.202,0.055
141,Lesotho,3.512,0.839,0.848,0.000,0.419,0.076,0.018
142,Botswana,3.471,1.503,0.815,0.280,0.571,0.012,0.102
143,Rwanda,3.268,0.785,0.133,0.462,0.621,0.187,0.544
144,Zimbabwe,2.995,0.947,0.690,0.270,0.329,0.106,0.105
145,Lebanon,2.955,1.392,0.498,0.631,0.103,0.082,0.034
146,Afghanistan,2.404,0.758,0.000,0.289,0.000,0.089,0.005
