Country,GII Value,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Female population with secondary education,Male population with secondary education,Female labour force participation rate,Male labour force participation rate
"Fiji",0.37,84,34,49.4,19.6,79.4,78.2,38.5,76.5
"El Salvador",0.383,85,46,69.5,31,39.9,46.4,45.3,75.7
"Ecuador",0.384,86,59,79.3,38,52.5,53.3,55.2,81.1
"Peru",0.395,87,88,56.9,30,58.9,69.4,70.3,85.1
"Jamaica",0.396,88,80,52.8,19,70,62.4,59.8,72.5
"Cabo Verde",0.397,89,58,73.8,23.6,28.8,31.2,53.3,67.6
"Sri Lanka",0.401,90,36,20.9,5.3,79.2,81,35.4,74.6
"Saint Lucia",0.401,90,117,40.5,20.7,49.2,42.1,59.5,75
"Rwanda",0.402,92,248,39.1,55.7,10.9,15.8,83.9,83.4
"South Africa",0.406,93,119,67.9,45.3,75,78.2,49.6,62.7
"Panama",0.407,94,52,81.8,21.1,74.8,68.6,53.4,79.9
"Brazil",0.408,95,60,59.1,15,61.6,58.3,54.2,74.1
"Lebanon",0.411,96,29,14.5,4.7,54.3,55.6,22.9,71.4
"Belize",0.415,97,36,68.5,11.1,79,78.9,49.9,80.6
"Bolivia (Plurinational State of)",0.417,98,155,64.9,51.8,53.1,59.5,63.2,80.5
"Bhutan",0.421,99,183,20.2,15.3,23.3,31.4,58.9,73.4
"Honduras",0.423,100,65,72.9,21.1,32.2,29.6,52,85.9
"Colombia",0.428,101,83,66.7,19.6,55.7,53,57.3,80.9
"Nicaragua",0.428,101,98,85,44.6,48.5,46.8,49.7,84.2
"Algeria",0.429,103,112,10.1,21.5,39.1,38.9,14.6,67.4
"Philippines",0.43,104,121,54.2,28,75.6,72.4,46.1,73.3
"Suriname",0.436,105,120,61.7,31.4,61.5,60.1,38.8,63.7
"Namibia",0.44,106,195,63.6,37,40.6,42,56.1,63.3
"Paraguay",0.446,107,84,70.5,16.8,49.2,51.2,59.2,84.6
"Egypt",0.449,108,37,53.8,14.9,73.5,72.5,21.9,70.9
"Jordan",0.45,109,46,25.9,15.4,82.2,86.1,14.4,63.7
"Nepal",0.452,110,186,65.1,33.5,29.3,44.2,82.8,85.1
"Morocco",0.454,111,70,31,18.4,29.1,36,21.5,70.1
"Dominican Republic",0.455,112,95,94.3,24.3,59.7,56.1,51.4,77.4
"Iran (Islamic Republic of)",0.459,113,16,40.6,5.9,67.4,72.8,17.5,71.5
"Lao People's Democratic Republic",0.459,113,185,65.4,27.5,35.1,46.2,76.7,80.2
"Guyana",0.462,115,169,74.4,31.9,70.9,56.4,43.9,68.5
"Botswana",0.465,116,144,46.1,10.8,89.6,90.9,65.4,76.9
"Cambodia",0.474,117,160,50.2,19.3,15.1,28.2,76.3,88.9
"Myanmar",0.478,118,250,28.5,11.6,28.7,23.5,47.5,77.4
"Venezuela (Bolivarian Republic of)",0.479,119,125,85.3,22.2,71.7,66.6,45.4,74.9
"Guatemala",0.479,119,95,70.9,19.4,38.6,37.5,39.9,86.3
"Indonesia",0.48,121,177,47.4,17.4,46.8,55.1,53.1,81.9
"Syrian Arab Republic",0.482,122,31,38.6,13.2,37.1,43.4,14.4,74.1
"India",0.488,123,133,13.2,13.5,27.7,47,20.5,76.1
"Burundi",0.504,124,548,55.6,38.8,7.5,11.4,80.4,77.8
"Ethiopia",0.517,125,401,66.7,37.3,11.5,22.6,73.4,85.8
"Kenya",0.518,126,342,75.1,23.3,29.8,37.3,72.1,77.3
"Mozambique",0.523,127,289,148.6,41.2,14,19.9,77.3,79
"Gabon",0.525,128,252,96.2,17.9,66.2,50.6,43.5,61.8
"Zimbabwe",0.527,129,458,86.1,34.6,59.8,70.8,78.1,89
"Senegal",0.533,130,315,72.7,41.8,10.3,26.5,35,57.5
"Uganda",0.535,131,375,118.8,34.9,27.5,35.1,67,73.9
"Angola",0.536,132,241,150.5,30,23.1,38.1,76.1,78.9
"Bangladesh",0.537,133,173,83,20.6,39.8,47.5,36.3,81.4
"Sao Tome and Principe",0.537,133,130,94.6,14.5,31.5,45.8,41.4,74.4
"Ghana",0.538,135,308,66.6,13.1,55.7,71.6,63.6,71.9
"Pakistan",0.538,135,140,38.8,20,27.6,45.7,21.9,81.7
"Zambia",0.539,137,213,120.1,18,38.5,54.1,70.4,79.1
"Sudan",0.545,138,295,64,27.5,15.4,19.5,29.1,68.2
"Lesotho",0.553,139,544,92.7,23,33,25.5,60.2,75.9
"Tanzania (United Republic of)",0.556,140,524,118.4,36.9,12,16.9,79.6,87.3
"Cameroon",0.56,141,529,105.8,29.3,32.7,41.3,71.1,81.1
"Malawi",0.565,142,349,132.7,22.9,17.6,26.1,72.6,81.1
"Eswatini (Kingdom of)",0.567,143,437,76.7,12.1,31.3,33.9,48.5,56.8
"Congo",0.57,144,378,112.2,13.6,46.7,51.3,67.5,71.4
"Togo",0.573,145,396,89.1,16.5,27.6,54.4,76.3,78.9
"Iraq",0.577,146,79,71.7,25.2,39.5,56.5,11.6,74.2
"Burkina Faso",0.594,147,320,104.3,13.4,6.1,12.3,58.3,74.8
"Benin",0.612,148,397,86.1,7.2,18.3,33.9,68.8,73
"Gambia",0.612,148,597,78.2,10.3,31.5,44.4,51.2,68
"Congo (Democratic Republic of the)",0.617,150,473,124.2,12,36.7,65.8,60.7,66.3
"Mauritania",0.634,151,766,71,20.3,12.7,25,28.9,63.1
"Haiti",0.636,152,480,51.7,2.7,26.9,40,61.9,72.8
"Côte d'Ivoire",0.638,153,617,117.6,13.3,17.9,34.4,48.2,65.5
"Niger",0.642,154,509,186.5,17,4.7,9,60.6,83.7
"Sierra Leone",0.644,155,1120,112.8,12.3,20.1,33,57.3,58.5
"Liberia",0.65,156,661,136,11.7,18.5,40.1,72.1,80.6
"Afghanistan",0.655,157,638,69,27.2,13.2,36.9,21.6,74.7
"Mali",0.671,158,562,169.1,9.5,7.3,16.4,61.2,80.6
"Central African Republic",0.68,159,829,129.1,8.6,13.4,31.3,64.4,79.8
"Chad",0.71,160,1140,161.1,14.9,1.7,10.5,63.9,77.5
"Papua New Guinea",0.725,161,145,52.7,0,10,15.2,46.3,48
"Yemen",0.795,162,164,60.4,1,19.9,36.9,5.8,70.2
